"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",3,1,2,3,3,5,4,4,1,5
"2",2,2,3,5,4,4,2,2,4,2
"3",5,4,5,4,1,3,3,2,1,2
"4",5,4,2,1,5,3,1,4,2,3
"5",4,1,1,5,3,5,4,1,1,4
"6",5,5,1,5,1,4,3,4,2,5
"7",2,2,1,4,4,2,2,3,1,3
"8",1,4,5,2,3,2,3,1,5,2
"9",5,3,5,1,3,5,2,1,4,1
"10",4,3,5,3,2,1,4,2,1,3
"11",3,1,5,1,5,3,5,4,5,1
"12",4,4,3,4,3,3,3,1,4,5
"13",2,1,2,5,4,4,3,5,3,3
"14",4,2,2,1,5,3,2,5,4,5
"15",4,2,4,3,1,1,1,3,1,4
"16",3,5,2,5,3,5,1,1,3,1
"17",5,5,2,4,4,1,4,5,5,4
"18",2,5,5,2,2,1,4,1,1,5
"19",4,1,2,1,4,4,1,2,4,5
"20",5,1,5,4,3,1,3,5,1,1
"21",3,2,1,1,5,2,5,5,3,5
"22",1,2,3,5,1,2,3,2,2,4
"23",4,3,1,2,5,4,5,2,1,5
"24",1,1,4,5,5,5,3,1,4,4
"25",3,5,1,2,2,3,3,1,1,1
"26",5,5,3,2,1,2,1,1,2,3
"27",5,1,1,1,2,2,5,4,2,2
"28",4,4,3,1,3,2,3,2,4,1
"29",1,3,3,1,4,4,4,2,2,5
"30",4,1,1,3,4,3,2,1,2,1
"31",2,1,5,4,3,4,2,5,5,3
"32",1,4,2,4,3,1,2,4,3,4
"33",2,5,3,3,5,3,1,4,5,1
"34",3,5,1,5,5,5,2,1,5,1
"35",3,1,2,1,1,1,3,3,5,1
"36",1,3,3,4,1,2,4,3,5,4
"37",1,2,4,1,5,1,3,5,1,3
"38",4,1,3,5,3,4,2,2,2,3
"39",2,1,2,4,3,1,2,3,4,1
"40",3,4,2,5,2,1,1,2,5,5
"41",3,2,2,1,4,1,2,2,1,1
"42",1,3,4,4,3,2,3,3,2,2
"43",5,3,3,3,4,3,5,2,1,2
"44",4,3,2,5,2,2,3,5,5,5
"45",5,4,2,3,1,5,3,5,1,1
"46",5,5,5,5,2,3,2,1,3,2
"47",3,1,1,2,2,1,1,1,2,3
"48",4,4,4,1,1,3,2,2,2,3
"49",4,3,5,3,4,5,4,1,4,4
"50",5,5,3,4,1,4,2,3,4,4
"51",1,2,3,4,4,4,2,1,3,5
"52",5,3,2,3,3,4,3,3,2,4
"53",5,3,4,1,4,1,1,5,4,5
"54",5,2,5,1,1,3,5,3,2,1
"55",3,1,3,5,5,1,2,3,3,4
"56",2,5,3,3,5,1,3,5,1,4
"57",2,3,1,4,4,5,5,5,3,4
"58",2,4,5,1,5,2,1,3,5,3
"59",2,2,3,5,1,2,1,3,1,4
"60",2,2,4,4,2,5,3,3,2,1
"61",3,2,1,4,4,3,3,4,2,3
"62",5,5,3,2,5,5,5,3,3,4
"63",5,5,3,4,5,2,2,2,2,1
"64",1,1,5,4,2,2,5,3,5,5
"65",3,3,4,4,4,3,5,5,2,5
"66",5,1,5,2,2,3,1,1,2,1
"67",2,1,2,3,1,4,5,5,1,4
"68",4,2,5,2,4,5,1,5,3,2
"69",2,1,3,3,5,3,2,3,1,1
"70",1,5,3,1,5,2,2,1,2,3
"71",1,1,5,5,1,1,1,5,1,4
"72",3,2,4,2,1,4,1,5,5,4
"73",1,2,2,5,3,4,1,1,4,3
"74",1,4,2,5,2,3,3,3,4,3
"75",2,1,5,5,4,1,1,5,1,5
"76",4,5,2,2,1,2,5,3,1,4
"77",2,1,3,5,1,4,1,5,1,3
"78",2,2,4,4,2,5,3,4,5,4
"79",5,4,3,3,2,4,2,5,3,1
"80",1,3,1,4,1,1,3,1,4,1
"81",2,2,5,2,2,5,5,3,5,1
"82",1,5,3,5,5,1,5,2,1,3
"83",4,5,4,3,3,1,2,4,3,4
"84",4,2,2,2,2,4,2,2,2,1
"85",2,1,4,3,5,4,5,1,1,5
"86",5,3,5,2,3,2,5,4,4,2
"87",3,3,4,1,5,4,3,2,3,5
"88",1,1,2,5,3,2,2,5,5,5
"89",5,3,4,2,4,2,2,2,2,2
"90",1,3,2,3,1,4,4,3,4,1
"91",1,2,4,4,5,5,5,1,3,5
"92",1,2,2,3,5,1,5,1,5,3
"93",3,5,4,1,4,3,5,4,3,5
"94",1,5,1,4,2,1,5,5,3,4
"95",4,3,4,3,5,2,1,3,4,1
"96",5,2,5,2,5,1,1,1,1,3
"97",2,1,5,2,5,3,1,2,5,5
"98",2,2,5,5,2,3,1,3,2,3
"99",3,1,5,1,1,3,4,1,5,3
"100",2,1,2,3,3,2,5,3,2,4
"101",3,2,2,2,1,5,3,3,1,1
"102",3,2,5,3,5,4,1,1,1,5
"103",3,2,1,4,4,4,4,3,3,3
"104",3,3,4,2,5,3,2,3,3,2
"105",1,3,3,5,2,3,2,3,3,2
"106",2,2,4,4,3,2,1,2,3,4
"107",2,1,2,3,5,5,3,3,3,4
"108",3,1,5,4,2,4,3,3,5,1
"109",5,3,4,4,1,5,2,3,5,3
"110",3,4,5,2,3,3,5,5,2,4
"111",3,2,1,5,2,1,1,2,1,1
